时间,水深(mm),雨量(mm)
2019/9/4 21:26,10,0
2019/9/4 21:46,10,0
2019/9/4 21:56,10,0
2019/9/4 22:16,10,0
2019/9/4 22:26,0,0
2019/9/4 22:36,10,0
2019/9/4 22:41,10,0
2019/9/4 23:26,10,0
2019/9/5 0:11,0,0.2
2019/9/5 0:26,0,0
2019/9/5 1:26,0,0
2019/9/5 1:51,10,0
2019/9/5 1:56,10,0
2019/9/5 2:16,10,0
2019/9/5 2:21,10,0
2019/9/5 2:26,10,0
2019/9/5 2:56,10,0
2019/9/5 3:16,10,0
2019/9/5 3:26,10,0
2019/9/5 4:06,10,0
2019/9/5 4:26,0,0
2019/9/5 4:56,10,0
2019/9/5 5:26,0,0
2019/9/5 6:26,0,0
2019/9/5 7:06,0,0.2
2019/9/5 7:11,0,0.4
2019/9/5 7:16,0,1.2
2019/9/5 7:21,0,1
2019/9/5 7:26,0,0.6
2019/9/5 7:31,0,0.4
2019/9/5 7:36,0,0.4
2019/9/5 7:41,0,0.2
2019/9/5 7:46,0,0.2
2019/9/5 7:51,0,0.2
2019/9/5 8:06,0,0.2
2019/9/5 8:26,0,0
2019/9/5 8:31,0,0.2
2019/9/5 8:46,0,0.2
2019/9/5 8:51,0,0.4
2019/9/5 8:56,0,0.2
2019/9/5 9:01,0,0.2
2019/9/5 9:06,0,0.4
2019/9/5 9:11,0,0.2
2019/9/5 9:16,0,0.2
2019/9/5 9:21,0,0.4
2019/9/5 9:26,0,0.4
2019/9/5 9:41,0,0.2
2019/9/5 10:06,0,0.2
2019/9/5 10:26,0,0
2019/9/5 11:26,0,0
2019/9/5 12:26,0,0
2019/9/5 12:41,0,0.2
2019/9/5 13:26,0,0
2019/9/5 14:26,0,0
2019/9/5 15:26,0,0
2019/9/5 16:26,0,0
2019/9/5 17:26,0,0
2019/9/5 18:26,0,0
2019/9/5 19:26,0,0
2019/9/5 20:26,0,0
2019/9/5 21:26,0,0
2019/9/5 22:26,0,0
2019/9/5 23:26,0,0
2019/9/6 0:26,0,0
2019/9/6 1:26,0,0
2019/9/6 2:26,0,0
2019/9/6 3:26,0,0
2019/9/6 3:36,0,0.6
2019/9/6 3:41,0,2.8
2019/9/6 3:46,0,1.4
2019/9/6 3:51,10,0.2
2019/9/6 3:56,10,0
2019/9/6 4:01,10,0
2019/9/6 4:06,10,0
2019/9/6 4:26,0,0
2019/9/6 4:31,10,0
2019/9/6 4:56,10,0
2019/9/6 5:26,0,0
2019/9/6 6:21,0,2.4
2019/9/6 6:26,0,0.2
2019/9/6 6:31,0,0.8
2019/9/6 6:36,0,0.4
2019/9/6 6:41,0,0.2
2019/9/6 6:51,0,1.4
2019/9/6 6:56,10,1.8
2019/9/6 7:01,10,1.2
2019/9/6 7:06,10,0.4
2019/9/6 7:11,10,0.4
2019/9/6 7:16,10,0
2019/9/6 7:21,0,0.2
2019/9/6 7:26,0,0
2019/9/6 8:26,0,0
2019/9/6 9:26,0,0
2019/9/6 10:26,0,0
2019/9/6 11:26,0,0
2019/9/6 12:26,0,0
2019/9/6 12:31,0,0.2
2019/9/6 13:26,0,0
2019/9/6 14:26,0,0
2019/9/6 15:26,0,0
2019/9/6 16:26,0,0
2019/9/6 17:01,0,0.2
2019/9/6 17:16,0,1.6
2019/9/6 17:26,0,0
2019/9/6 18:01,0,0.4
2019/9/6 18:11,0,1.4
2019/9/6 18:16,0,1
2019/9/6 18:21,10,0.6
2019/9/6 18:26,0,0.6
2019/9/6 18:31,10,0.2
2019/9/6 18:36,10,0.2
2019/9/6 18:51,10,0
2019/9/6 18:56,10,0
2019/9/6 19:06,10,0
2019/9/6 19:21,10,0
2019/9/6 19:26,0,0
2019/9/6 19:51,10,0
2019/9/6 20:11,10,0
2019/9/6 20:16,10,0
2019/9/6 20:26,0,0
2019/9/6 20:41,10,0
2019/9/6 20:46,10,0
2019/9/6 20:51,10,0
2019/9/6 20:56,10,0
2019/9/6 21:01,10,0
2019/9/6 21:21,10,0
2019/9/6 21:26,10,0
2019/9/6 22:21,10,0
2019/9/6 22:26,0,0
2019/9/6 22:36,10,0
2019/9/6 22:41,10,0
2019/9/6 23:16,10,0
2019/9/6 23:26,0,0
2019/9/6 23:51,10,0
2019/9/7 0:16,10,0
2019/9/7 0:26,0,0
2019/9/7 0:36,10,0
2019/9/7 0:46,10,0
2019/9/7 1:11,10,0
2019/9/7 1:26,10,0
2019/9/7 1:36,10,0
2019/9/7 1:46,10,0
2019/9/7 1:56,10,0
2019/9/7 2:26,0,0
2019/9/7 2:36,10,0
2019/9/7 2:46,10,0
2019/9/7 2:56,10,0
2019/9/7 3:26,0,0
2019/9/7 3:36,10,0
2019/9/7 3:41,10,0
2019/9/7 3:46,10,0
2019/9/7 3:56,10,0
2019/9/7 4:26,10,0
2019/9/7 4:41,10,0
2019/9/7 4:46,10,0
2019/9/7 5:06,10,0
2019/9/7 5:11,10,0
2019/9/7 5:26,0,0
2019/9/7 6:26,0,0
2019/9/7 7:26,0,0
2019/9/7 7:41,10,0
2019/9/7 7:46,10,0
2019/9/7 7:51,10,0
2019/9/7 8:26,0,0
2019/9/7 9:26,0,0
2019/9/7 10:26,0,0
2019/9/7 11:26,0,0
2019/9/7 12:26,0,0
2019/9/7 13:26,0,0
2019/9/7 14:26,0,0
2019/9/7 15:26,0,0
2019/9/7 16:26,0,0
2019/9/7 17:26,0,0
2019/9/7 18:26,0,0
2019/9/7 19:26,0,0
2019/9/7 20:26,0,0
2019/9/7 21:26,0,0
2019/9/7 22:26,0,0
2019/9/7 23:26,0,0
